"customFlowLabel","deviceChosen","scanCompletedAt","severity","issueId","issueDescription","wcagConformance","url","pageTitle","context","howToFix","axeImpact","xpath","learnMore"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.energy.gov/articles/us-department-energy-and-nasa-develop-lunar-surface-reactor-2030","U.S. Department of Energy and NASA to Develop Lunar Surface Reactor by 2030 | Department of Energy","<h3>Media Inquiries:</h3>","Fix any of the following:
  Heading order invalid","moderate",".group-section__item--start > h3","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.energy.gov/articles/us-department-energy-awards-27-billion-restore-american-uranium-enrichment","U.S. Department of Energy Awards $2.7 Billion to Restore American Uranium Enrichment | Department of Energy","<h3>Media Inquiries:</h3>","Fix any of the following:
  Heading order invalid","moderate",".group-section__item--start > h3","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.energy.gov/articles/energy-secretary-ensures-colorado-coal-plant-remains-open-prevent-blackouts","Energy Secretary Ensures Colorado Coal Plant Remains Open to Prevent Blackouts | Department of Energy","<h3>Media Inquiries:</h3>","Fix any of the following:
  Heading order invalid","moderate",".group-section__item--start > h3","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.energy.gov/budget-performance","Budget & Performance | Department of Energy","<h3><a href=""/cfo/listings/budget-justification-supporting-documents"" data-once=""links"">More Budget Requests</a></h3>","Fix any of the following:
  Heading order invalid","moderate",".layout-breakout.layout-float.layout-right > .field--text_default.field--body.field--name-body > h3","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.energy.gov/budget-performance","Budget & Performance | Department of Energy","<h4><a aria-label=""Read more about More Annual Performance Reports"" href=""/cfo/listings/annual-performance-reports"" title=""Read more about More Annual Performance Reports"" data-once=""links"">More Annual Performance Reports</a></h4>","Fix any of the following:
  Heading order invalid","moderate","h4","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.energy.gov/open-government","Open Government | Department of Energy","<h4>CUSTOMER SERVICE</h4>","Fix any of the following:
  Heading order invalid","moderate",".tablet-lg\:grid-col-6:nth-child(1) > .block-layout-builder.block-inline-blockbasic.block > .field--text_default.field--body.field--name-body > h4:nth-child(1)","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.energy.gov/cio/articles/vulnerability-disclosure-policy","Vulnerability Disclosure Policy | Department of Energy","<h4 class=""block block-layout-builder block-inline-blockbasic block-title--vulnerability-disclosure-program-vdp-policy-and-handling-procedures"">
        
        VULNERABILITY DISCLOSURE PROGRAM (VDP) POLICY AND HANDLING PROCEDURES
                  </h4>","Fix any of the following:
  Heading order invalid","moderate","h4","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","presentation-role-conflict","Ensure elements marked as presentational do not have global ARIA or tabindex so that all screen readers ignore them","cat.aria,best-practice,ACT","https://www.energy.gov/cfo/office-chief-financial-officer","Office of the Chief Financial Officer | Department of Energy","<iframe title=""reCAPTCHA"" width=""304"" height=""78"" role=""presentation"" name=""a-dssfg0b0sawy"" frameborder=""0"" scrolling=""no"" sandbox=""allow-forms allow-po..."" src=""https://www.google.c..."" aria-label=""Office of the Chief ..."">","Fix all of the following:
  Element does not have global ARIA attribute","minor","iframe","https://dequeuniversity.com/rules/axe/4.11/presentation-role-conflict?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","presentation-role-conflict","Ensure elements marked as presentational do not have global ARIA or tabindex so that all screen readers ignore them","cat.aria,best-practice,ACT","https://www.energy.gov/hc/office-chief-human-capital-officer","Office of the Chief Human Capital Officer | Department of Energy","<iframe title=""reCAPTCHA"" width=""304"" height=""78"" role=""presentation"" name=""a-x1iik9vtp64d"" frameborder=""0"" scrolling=""no"" sandbox=""allow-forms allow-po..."" src=""https://www.google.c..."" aria-label=""Office of the Chief ..."">","Fix all of the following:
  Element does not have global ARIA attribute","minor",".g-recaptcha > div > div > iframe","https://dequeuniversity.com/rules/axe/4.11/presentation-role-conflict?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","presentation-role-conflict","Ensure elements marked as presentational do not have global ARIA or tabindex so that all screen readers ignore them","cat.aria,best-practice,ACT","https://www.energy.gov/cio/office-chief-information-officer","Office of the Chief Information Officer | Department of Energy","<iframe title=""reCAPTCHA"" width=""304"" height=""78"" role=""presentation"" name=""a-cqm2nldz785x"" frameborder=""0"" scrolling=""no"" sandbox=""allow-forms allow-po..."" src=""https://www.google.c..."" aria-label=""Office of the Chief ..."">","Fix all of the following:
  Element does not have global ARIA attribute","minor",".g-recaptcha > div > div > iframe","https://dequeuniversity.com/rules/axe/4.11/presentation-role-conflict?application=playwright"
"None","Desktop","2026-01-15T14:36:02.914Z","Good to Fix","heading-order","Ensure the order of headings is semantically correct","cat.semantics,best-practice","https://www.energy.gov/em/office-environmental-management","Office of Environmental Management | Department of Energy","<h4>Deactivation &amp; Decommissioning (D&amp;D)</h4>","Fix any of the following:
  Heading order invalid","moderate","h4","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright"
